Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
75,0.7680892208043266,0.9997757077217102,557.3869820926967,749.2085820458801,0.9999937415122986,593.8599455758427,716.5237301029963,0.9999685287475586,508.7400514981274,726.8648320458801,0.9998000264167786,645.4715297284645,758.4240402621723,0.9997151494026184,450.537658005618,779.3564197097379,0.9759724140167236,796.7951925327716,1022.7801673689139,0.9934728145599365,343.6491982677903,998.1340706928839,0.9943840503692627,846.8584679307116,1303.8190543071162,0.9941573739051819,217.91359433520597,1288.805155664794,0.9859002828598022,668.0579207631085,1414.270394428839,0.996856689453125,393.6750936329588,1261.741573033708,0.8662298321723938,706.1162072799625,1633.6328125,0.9026660919189453,392.7292544475656,1585.956958099251,0.2798866629600525,743.6605366338952,1897.3459445224719,0.04284122586250305,742.7127223782772,1895.4094978932585,0.015759587287902832,737.3547957631085,1972.4078300561798,0.010136574506759644,721.7093135533707,1930.5303429307116
76,0.7679158712134642,0.9997761249542236,557.4112681413858,748.7968164794007,0.9999932050704956,593.1358263108615,715.8154845505618,0.9999687671661377,508.3139483848315,726.6547430945693,0.9997570514678955,645.0943644662921,757.5212137172285,0.9997127056121826,450.29757724719104,780.0168246722847,0.9750989079475403,796.7662979868915,1023.2575491573034,0.9949105381965637,342.11113061797755,998.3936827013109,0.9948557615280151,847.2011060393259,1303.4348665730338,0.994430422782898,216.66022940074913,1288.3681530898878,0.9877673983573914,679.4850187265918,1416.2960849719102,0.9986382126808167,414.941333099251,1238.8241748595506,0.8519787192344666,709.806955173221,1629.5274461610488,0.9027459621429443,390.13145189606746,1593.7438553370787,0.29492759704589844,739.4574408941949,1897.7052610018727,0.03249514102935791,738.8234433520599,1895.0699321161048,0.016361892223358154,735.6235369850187,1970.7013693820224,0.011151403188705444,740.4147647471912,1965.6487008426966
77,0.7679329847588259,0.9997864961624146,556.8300122893259,748.6584884129214,0.9999940395355225,592.6753423455057,715.699760065543,0.9999681711196899,507.8765800561798,726.2992304541199,0.9997925162315369,644.6392205056179,758.195005266854,0.9997239112854004,449.70725070224717,780.4771623361423,0.9745070934295654,795.6850567649813,1012.8806764981274,0.9953625798225403,337.898598431648,997.7599046114233,0.9949240684509277,847.4158766385767,1304.3256963951312,0.9861984252929688,217.21873536985026,1283.9715004681648,0.990358829498291,670.4064255617977,1420.0269194756554,0.9963807463645935,394.2687851123595,1231.2754564606741,0.8348233699798584,710.2027007256554,1629.4456636235955,0.8982383012771606,389.70015507958806,1598.4426205524346,0.3064780831336975,744.4466877340824,1892.6795119382023,0.04541283845901489,740.3225948033707,1889.8168305243446,0.017957419157028198,735.6298279494383,1967.212663857678,0.014953851699829102,757.6791461844571,1468.35235252809
78,0.7645055897095624,0.9997819066047668,557.4565484550562,748.3770774812734,0.9999940395355225,593.0116163389514,715.4033532303371,0.9999669790267944,507.7822887406368,725.9198706694757,0.9997664093971252,644.8196102528091,757.3433110955057,0.9997209906578064,449.3477879213483,780.7393346207865,0.9766397476196289,797.03907713015,1013.4917047050562,0.9956485033035278,337.1391473548689,995.6546260533709,0.9953669309616089,847.080699906367,1305.2776802434457,0.9735375642776489,196.7203593164794,1284.2787336142324,0.9883833527565002,670.3446863295881,1423.3723958333335,0.9952090978622437,386.43711961610495,1223.5778031367042,0.836261510848999,719.3507871020599,1566.1781659644196,0.8981863260269165,389.1331636235956,1602.3880793539327,0.2550610899925232,741.4799128043071,1893.4293071161048,0.041127294301986694,740.2651714653559,1890.5809632490636,0.016170501708984375,737.4537687265918,1966.1205231741574,0.025772780179977417,760.1123595505619,1463.5416666666667
79,0.7636142022469464,0.9997955560684204,558.7996693586142,748.0159322331461,0.9999935626983643,593.8345622659176,715.1451310861423,0.999965250492096,508.4371342462547,725.7188524110487,0.9997680187225342,644.8548689138577,757.0963541666667,0.9997206926345825,449.7781337780899,780.9262347846442,0.9756364822387695,795.524929775281,1014.5469774110487,0.9950927495956421,340.0803195224719,995.0678107443821,0.9953873157501221,847.5397940074906,1305.2520774812735,0.9899566173553467,205.2663418773409,1280.2064314138577,0.9852238297462463,662.2005208333333,1420.3983789794008,0.9977045059204102,416.0345710440075,1209.3196248829588,0.8368308544158936,709.3755120552435,1624.2171406835207,0.8709378242492676,394.13089595037457,1621.8938728932585,0.259743869304657,742.2946658473784,1893.7179599719102,0.038010597229003906,742.3013957162921,1890.5505325374531,0.015531957149505615,735.0376726357679,1967.801966292135,0.022141754627227783,762.4350421348315,1459.0883953651685
80,0.7659450366216547,0.9997973442077637,559.8084181882023,748.2969774110487,0.999993085861206,594.6744060159176,714.8936388108615,0.9999610185623169,508.8544592696629,725.5473870552435,0.9997179508209229,644.5835527855807,756.7792456694757,0.9997209310531616,449.8283151919476,780.7702042368915,0.9762948155403137,796.6807116104869,1022.6784878277153,0.9953838586807251,340.3176937031835,994.1722261235956,0.9951645135879517,848.7529260299625,1306.0551264044943,0.9934264421463013,215.40320692883893,1276.5531367041199,0.9836409687995911,663.6299596207866,1423.7524871254682,0.9987941980361938,402.58953651685397,1208.6072828885767,0.847400426864624,710.6587956460673,1628.5138693820224,0.8886730074882507,394.1613266619851,1625.2980161516855,0.2589607834815979,745.153982326779,1893.3055360486892,0.04207995533943176,744.3435451779026,1891.0134304775281,0.01960715651512146,719.6675298455057,1941.432730571161,0.02244916558265686,761.9790203651685,1463.3672752808989
81,0.7685759628520292,0.9997936487197876,560.5558725421349,747.4188758192884,0.9999934434890747,595.1687587780899,714.9013196395131,0.999957799911499,510.1455699906368,725.7031981507491,0.999725341796875,644.0070517322097,756.8675386235956,0.9997240304946899,450.78395657771534,781.860004096442,0.9731967449188232,799.0856887874531,1022.8261060393259,0.9938479661941528,343.4928751170412,994.4233526451311,0.9933575391769409,848.8553370786517,1305.3209854868915,0.9964942932128906,230.08946336610484,1270.4934749531835,0.9876817464828491,663.2924420646068,1424.2319171348315,0.9987919330596924,375.3332748127341,1212.706870318352,0.867674708366394,710.6293158941949,1627.8718984082398,0.8813983201980591,392.00286750936334,1619.7155898876406,0.280622661113739,741.601416198502,1893.2205348782772,0.047168225049972534,742.0869177200375,1889.736949906367,0.02515178918838501,718.6059661750937,1941.957660346442,0.021211177110671997,760.4697741104869,1463.528206928839
82,0.7694609358030207,0.9997908473014832,562.0648261938203,746.6091701779027,0.9999927878379822,595.8060481039327,714.4509304775281,0.9999488592147827,511.8099689840824,725.9244791666667,0.9997068643569946,644.3895569990636,756.398130266854,0.9997352361679077,451.4761089653558,781.6137786750936,0.9735340476036072,796.3833538155432,1023.4205290262173,0.9919645190238953,347.4323355571162,996.0640507958802,0.9933121204376221,849.2753686797753,1305.573209269663,0.9910929799079895,240.19765332397003,1263.443205758427,0.9872592687606812,664.6147150046818,1425.099923923221,0.9984420537948608,361.8586142322098,1221.422489466292,0.8744567036628723,711.9447126638577,1622.0608029026218,0.8955927491188049,399.07603288857683,1596.9611715823971,0.28392910957336426,742.7673659878278,1891.1632432116105,0.04946085810661316,742.4989758895131,1885.769838483146,0.018120110034942627,736.1467842930713,1969.7409000468165,0.024496793746948242,760.1932642790262,1462.965238764045
83,0.7681357527480406,0.9997417330741882,564.3000204822098,745.359609082397,0.9999926090240479,596.727893843633,714.210703417603,0.9999393820762634,513.6843106273409,725.9716613998128,0.9996851682662964,644.6102528089889,756.0487622893259,0.9997466802597046,452.3703768726592,781.9981127106741,0.9743895530700684,801.1680711610488,1024.8064431179776,0.988534688949585,357.35889220505624,993.3930974953183,0.994064450263977,819.3764630149813,1297.7166725187267,0.9925962686538696,247.07323852996262,1252.8028441011236,0.9917964935302734,668.8187617041199,1426.2818937265918,0.9959722757339478,359.6134714419476,1229.9258251404494,0.8720630407333374,715.1714653558054,1625.322887406367,0.9021565914154053,401.9767526919476,1592.3705231741574,0.24481889605522156,742.6406688904494,1894.7120786516855,0.04936322569847107,746.1301790730338,1889.8155138108614,0.03325870633125305,739.2237242509364,1962.271330758427,0.02018803358078003,758.8892058754682,1463.443205758427
84,0.7648021017803865,0.9997282028198242,565.3920148642322,745.0800269194757,0.9999911785125732,597.4685451779027,713.4924362125469,0.9999260306358337,515.4567532771536,725.9247717696629,0.9996033906936646,644.391093164794,755.888050093633,0.9997150301933289,453.8456811797753,783.0310012874533,0.9715682864189148,801.6285551264045,1025.5886440777153,0.9857761859893799,364.234770014045,991.5245347612359,0.9937335252761841,819.3723665730338,1297.6821453651685,0.9938249588012695,265.77751931179773,1232.899841994382,0.9919552803039551,671.605000585206,1426.0175269194758,0.9906656742095947,341.974923923221,1238.884451076779,0.8654271364212036,715.7999765917602,1624.1712020131088,0.9193490743637085,399.4524666432585,1583.216877340824,0.20890623331069946,744.3184544709738,1900.2861657303372,0.033377885818481445,748.6748741807116,1893.7611189138577,0.033065617084503174,743.4853405898878,1964.571190308989,0.015022039413452148,747.2060071395131,1961.1674859550562
85,0.757910966873169,0.999689519405365,567.8022588951311,744.0868591994382,0.9999890923500061,599.6253218632959,713.1561622191011,0.999907910823822,518.4531542602997,726.2303224485019,0.9996724128723145,645.4645804073034,756.5579646535581,0.9997279644012451,456.1514659410112,783.7521213717229,0.9760032892227173,796.9981858614233,1024.2195546582398,0.9836914539337158,367.18545177902627,989.8923952481274,0.9954445362091064,823.7017205056179,1300.2220856741574,0.9916240572929382,267.6594686329588,1235.9590063202247,0.9941524267196655,674.5189606741574,1428.0704295411986,0.9883637428283691,329.54770891853934,1248.2429190074906,0.8503402471542358,717.8964039091761,1634.2496196161048,0.9051971435546875,401.41824672284645,1580.4887933052435,0.1466349959373474,736.5564284878278,1901.5032478932585,0.024363309144973755,408.4925093632959,1974.4787277621724,0.01911342144012451,741.4906659644196,1967.1187382958801,0.010570913553237915,757.1714799859551,1470.165320692884
86,0.7575195308993844,0.9996724128723145,569.4414940308989,742.7665613295881,0.9999867677688599,600.5187851123596,712.3239992977528,0.9998840093612671,520.4844774110487,726.1259363295881,0.9996323585510254,645.7180477528091,755.7970505617977,0.9997467994689941,457.35867275280907,783.7413682116105,0.9692349433898926,797.4871986189139,1023.9499941479401,0.9843358397483826,365.5695517322098,989.0599397237828,0.9947072863578796,827.0147179307116,1296.2751638576779,0.9871575832366943,272.1880852059925,1229.5278850655432,0.9957932829856873,677.0888927902622,1428.2218515917602,0.9921202659606934,338.7880383895132,1259.4307408707866,0.8121534585952759,721.1610486891386,1636.7207982209738,0.9124300479888916,398.83426966292143,1571.3800620318352,0.16812622547149658,741.6167778558054,1898.129535346442,0.030497223138809204,749.7286107209738,1891.0757549157304,0.02232256531715393,740.0522296348315,1969.3486657303372,0.010030955076217651,741.8596383426966,1966.5389454588017
87,0.7595813326975879,0.9996163249015808,548.8928634129214,744.6927668539327,0.9999845027923584,602.6178458567416,711.9345447097379,0.9998664855957031,522.6269897003746,726.3046436095506,0.9995406866073608,647.3501141151685,755.8809544709738,0.9996765851974487,459.327890917603,784.5994264981274,0.9726263284683228,798.0917164091761,1025.8527914325844,0.9781503677368164,369.45232034176036,989.1277504681648,0.9951099753379822,829.458830758427,1296.227030664794,0.9815295934677124,254.42423045411988,1198.5579061329588,0.9960415959358215,679.0687909644196,1428.3761996722847,0.9944741725921631,330.76669300093636,1264.0758134363296,0.8273167014122009,718.1292427434457,1635.4394897003747,0.9083420038223267,399.8920294943821,1559.4730220037454,0.19750675559043884,740.1455699906367,1903.0966175093633,0.024910300970077515,744.7670880149813,1898.46485838015,0.02605089545249939,740.1545675327716,1965.4845505617977,0.012139379978179932,743.8401217228466,1959.6295646067417
88,0.7606420026105993,0.9996594190597534,550.7001989700375,744.7623332162922,0.9999818801879883,603.6900895365169,712.0684837312734,0.9998348951339722,524.9202656835206,726.4778645833334,0.9995620846748352,648.576340121723,755.5719657069288,0.9996111392974854,460.52207689606746,783.3723958333334,0.9708346128463745,799.0562821863296,1024.5664355102997,0.9781086444854736,370.26305009363296,990.9516912453183,0.9963083267211914,834.4914559925094,1294.3526158707866,0.985480785369873,275.2746810627341,1177.2430214185395,0.9963704347610474,682.7920909410113,1427.672343164794,0.9923920035362244,325.7556472378277,1270.0282361891386,0.8005576133728027,720.9067766853932,1635.149520131086,0.8800948262214661,399.93577364232215,1559.0249005149813,0.2623237073421478,747.6231127106741,1900.3199613764045,0.03259330987930298,747.8758485486892,1893.0815484550562,0.02521100640296936,736.8333772237829,1966.7655664794008,0.011989355087280273,741.869147940075,1960.7632549157304
89,0.7539427683633917,0.9997426271438599,550.7595242275281,744.445005266854,0.9999808073043823,603.8144458099251,714.9498917368915,0.9995986223220825,529.5808462078652,726.7930711610487,0.9995976686477661,649.8637201544943,757.413682116105,0.9995049238204956,462.56583567415737,784.8400193117977,0.9710766077041626,777.536794826779,1007.1891093164794,0.98563152551651,368.9171494616105,989.7535551264045,0.9972119331359863,839.5868445692884,1295.4568995786517,0.9948060512542725,290.6846178604869,1166.4413623595506,0.993655800819397,697.893038974719,1419.9201193820224,0.9734760522842407,309.0702539794007,1266.5979049625469,0.8025486469268799,723.6965999531835,1639.2345505617977,0.86579430103302,405.7552814840824,1572.9577773876406,0.1722710132598877,747.72735252809,1899.335791198502,0.03811377286911011,754.566728113296,1888.8471441947565,0.015569686889648438,738.9039091760301,1974.1216058052435,0.008447021245956421,742.0635094803372,1967.7144779962548
